period,series_reference,region_name,filled_jobs
2020.09,BDCQ.SED1RA,Northland,65520
2020.09,BDCQ.SED1RB,Auckland,708372
2020.09,BDCQ.SED1RC,Waikato,198776
2020.09,BDCQ.SED1RD,Bay of Plenty,127323
2020.09,BDCQ.SED1RE,Gisborne,20417
2020.09,BDCQ.SED1RF,Hawke's Bay,71967
2020.09,BDCQ.SED1RG,Taranaki,49239
2020.09,BDCQ.SED1RH,Manawatu-Whanganui,101946
2020.09,BDCQ.SED1RI,Wellington,237102
2020.09,BDCQ.SED1RJ,Tasman,22298
2020.09,BDCQ.SED1RK,Nelson,19009
2020.09,BDCQ.SED1RL,Marlborough,24745
2020.09,BDCQ.SED1RM,West Coast,13626
2020.09,BDCQ.SED1RN,Canterbury,275569
2020.09,BDCQ.SED1RO,NULL,103405
2020.09,BDCQ.SED1RP,Southland,43598
2020.12,BDCQ.SED1RA,Northland,67629
2020.12,BDCQ.SED1RB,Auckland,713636
2020.12,BDCQ.SED1RC,Waikato,203030
2020.12,BDCQ.SED1RD,Bay of Plenty,130557
2020.12,BDCQ.SED1RE,Gisborne,21450
2020.12,BDCQ.SED1RF,Hawke's Bay,74413
2020.12,BDCQ.SED1RG,Taranaki,50073
2020.12,BDCQ.SED1RH,Manawatu-Whanganui,104474
2020.12,BDCQ.SED1RI,Wellington,241506
2020.12,BDCQ.SED1RJ,Tasman,22794
2020.12,BDCQ.SED1RK,Nelson,19480
2020.12,BDCQ.SED1RL,Marlborough,25074
2020.12,BDCQ.SED1RM,West Coast,13974
2020.12,BDCQ.SED1RN,Canterbury,278420
2020.12,BDCQ.SED1RO,Otago,104841
2020.12,BDCQ.SED1RP,Southland,45280
2021.03,BDCQ.SED1RA,Northland,67128
2021.03,BDCQ.SED1RB,Auckland,708896
2021.03,BDCQ.SED1RC,Waikato,202584
2021.03,BDCQ.SED1RD,Bay of Plenty,130306
2021.03,BDCQ.SED1RE,Gisborne,21616
2021.03,BDCQ.SED1RF,Hawke's Bay,75658
2021.03,BDCQ.SED1RG,Taranaki,50405
2021.03,BDCQ.SED1RH,Manawatu-Whanganui,104144
2021.03,BDCQ.SED1RI,Wellington,239815
2021.03,BDCQ.SED1RJ,Tasman,22914
2021.03,BDCQ.SED1RK,Nelson,19382
2021.03,BDCQ.SED1RL,Marlborough,25005
2021.03,BDCQ.SED1RM,West Coast,13900
2021.03,BDCQ.SED1RN,Canterbury,277381
2021.03,BDCQ.SED1RO,Otago,104361
2021.03,BDCQ.SED1RP,Southland,45855
2021.06,BDCQ.SED1RA,Northland,68288
2021.06,BDCQ.SED1RB,Auckland,720874
2021.06,BDCQ.SED1RC,Waikato,204615
2021.06,BDCQ.SED1RD,Bay of Plenty,134675
2021.06,BDCQ.SED1RE,Gisborne,21455
2021.06,BDCQ.SED1RF,Hawke's Bay,76083
2021.06,BDCQ.SED1RG,Taranaki,50626
2021.06,BDCQ.SED1RH,Manawatu-Whanganui,104227
2021.06,BDCQ.SED1RI,Wellington,239064
